models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_mprim,c_smprim,c_ssmprim,c_cmsaprim
netkeys,0.32000001255173893,7.775936090188781e-05,11,0.0,0.23076923076923078,0.8888888888888888,0.2222222222222222,0.125,0.0,0.03333333333333333
kruskal,4.713720563875867e-08,0.00020479289350243938,13,0.45454545454545453,0.0,0.6666666666666666,0.1111111111111111,0.08333333333333333,0.0,0.06666666666666667
prim,0.6562499972545464,0.9999741382224194,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mprim,0.20761245632489372,0.00011798760280978163,18,0.36363636363636365,0.15384615384615385,0.7777777777777778,0.0,0.08333333333333333,0.0,0.03333333333333333
smprim,0.15879016845559962,0.00012291683766865567,24,0.7272727272727273,0.6153846153846154,1.0,0.7222222222222222,0.0,0.03333333333333333,0.23333333333333334
ssmprim,0.06658737430637116,0.0007516004244771834,30,1.0,1.0,1.0,0.7777777777777778,0.6666666666666666,0.0,0.43333333333333335
cmsaprim,0.06658737429033974,0.0007517506899697937,30,0.9090909090909091,0.8461538461538461,1.0,0.7222222222222222,0.4166666666666667,0.23333333333333334,0.0
