Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.5352381684714044,0.03798734486261071,0.651915858572416,0.03217866690171277,0.6396966597151469,0.031002273080778266,0.6155053175984118,0.027345956043531513,0.8711015937509334,0.006546907042115675
NIn8,0.5000681636888926,0.021158936136618844,0.6105453388813269,0.026508754755059174,0.6027855564710276,0.02831576836806632,0.6380661274184731,0.02127012508884819,0.755164018885633,0.01985496937609726
NIn9,0.49267964326667346,0.009248856671612425,0.6775418928406396,0.015245809282000315,0.6235190655564915,0.014212537615454195,0.6285606335597386,0.022895621737837536,0.8698008411283545,0.011239066881561809
NIn10,0.523057105745101,0.015513308883240007,0.6984904949067985,0.018910375496946772,0.6461703307048984,0.015232167591528826,0.6402171314890003,0.024275343747944673,0.8838975487035021,0.018455382750586113
NIn11,0.4393096158407654,0.011120498585289285,0.631730008112598,0.018218680559274777,0.557387513071163,0.012583584576084956,0.5573704622232573,0.016930161281989393,0.6998415173503523,0.022986447435111742
NIn12,0.4352662155182213,0.007123175625546255,0.616595880860857,0.020162428555001524,0.5488695494577615,0.016187955803405426,0.5523892381713367,0.011077957306572397,0.707280378965536,0.013764007013233845
NIn13,0.6922648709845831,0.013415593182309707,0.7448542837340785,0.02397906504858873,0.7618213141102752,0.016212167778167023,0.7829296591617385,0.02180930212810489,0.8432179041837387,0.001316239215195941
NIn14,0.6695598642056526,0.020192547198683842,0.7534206739431968,0.016141611613947966,0.7445835456719737,0.016316891267286127,0.7915599042623451,0.01922859884317455,0.8908506633004862,0.0010817131233492546
NIn15,inf,,inf,,inf,,inf,,inf,
NIn16,0.719992615281895,0.014433804759519324,0.7662539049730198,0.02120578468080173,0.7658444619859877,0.014365491477644378,0.8137685561177548,0.014189455742528173,0.9582056772035404,0.0012813626322732646
NIn17,0.5354106855994989,0.009405352888326538,0.6085301715236576,0.0246341574768575,0.587792828587175,0.013805920388461252,0.652920093342492,0.032772586208610455,0.8151791725148417,0.016230428546609284
NIn18,0.5269976666115694,0.012185978765346942,0.5964023803290285,0.027341478719753644,0.5846292005067448,0.024651307739228356,0.6400142488343772,0.047470511387707734,0.7980114699067387,0.01711026502359269
