Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.770868474191281,0.052095835648793956,0.9296030973037894,0.018670047002731574,0.894653092071831,0.018228162615663138,0.8926977590839298,0.028144823275992888,0.9109509300673,0.013225660407676093,0.544997020270187,0.009562365699307664
NIn8,0.8364131993201258,0.015366022376631587,0.9329789283300407,0.02215900725176202,0.9035425272505704,0.02894666062632327,0.8952540597608701,0.02609902467203629,0.8827876925313403,0.018360479701196704,0.7351065769347291,0.00962471705312526
NIn9,0.8400136832109798,0.030933880658572895,0.9624348399999623,0.02300113321585545,0.9547518266633178,0.02123009120579549,0.9664541985157168,0.016718128051466788,0.9640192527659547,0.028417650204674055,0.7758608682929091,0.01387767175095455
NIn10,0.8359986337682667,0.03784317338750143,0.9736326322733786,0.013224072854742286,0.9678251429286483,0.016890634749323084,0.9692199577128164,0.010663718389237983,0.9696604091635234,0.026116276264793986,0.8021431996564374,0.014872327781469961
NIn11,0.722468828742035,0.021572977241899296,0.9812926308876655,0.009713328554109007,0.9295753626021572,0.024395195927013988,0.9879159399884425,0.010341885034969757,0.9875158523474262,0.010700261801312403,0.7887547265751466,0.012287957304345405
NIn12,0.7223027571339806,0.022516905143737977,0.9792269405902699,0.00813919537957077,0.9547925358954004,0.01924552972224649,0.9784001805579953,0.020117041620345246,0.9831906591813795,0.01196535677094864,0.7938662000675827,0.020121584831048728
NIn13,0.866606022202312,0.04151237870370709,0.9619747277291063,0.03725569466617458,0.9663575191094891,0.03476118040998262,0.9587389677217747,0.016864010533287312,0.9652409749559604,0.024276836561227002,0.9387668742727306,0.005220442949199641
NIn14,0.8590715929613075,0.03543287896075011,0.8942167852881802,0.03317393986404066,0.9506573445935314,0.021132150908418357,0.9164605631870317,0.028536021710350353,0.9355245395387616,0.016123068668672896,0.918807894822302,0.007524829444420039
NIn15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
NIn16,0.848619749256257,0.018146822848293914,0.9623972336505904,0.014994902834917037,0.9708835501741554,0.015072152452777814,0.9709051353887528,0.019188767167838523,0.9829339483973147,0.0073238141823162095,0.9726001953538935,0.028382578834310085
NIn17,0.8415701999398232,0.035539909759874214,0.9790474996006863,0.010223244547741588,0.9860273982989805,0.01816215639880192,0.9836365783304537,0.011639481284427936,0.9786177617261552,0.017580214525630633,0.9465026460550957,0.014164811738265623
NIn18,0.8582962313956163,0.042568372001628337,0.9774707246137597,0.012469112579302704,0.9806688929671022,0.013759952854044398,0.9806863539241066,0.018649268120528716,0.9671891619864631,0.017149961526882602,0.950443048118314,0.009975595519920699
