Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,5.3,1.2688577540449522,8.9,1.7,9.3,2.147091055358389,7.7,1.004987562112089,34.7,0.45825756949558405
NIn8,5.5,1.3601470508735443,7.8,1.7776388834631178,8.5,1.5652475842498528,9.6,1.019803902718557,19.9,0.7000000000000001
NIn9,4.4,1.8,9.2,2.1354156504062622,6.4,2.2,7.0,1.8973665961010275,43.6,3.0724582991474434
NIn10,4.1,1.445683229480096,9.2,2.785677655436824,6.6,1.8,4.5,1.2041594578792296,39.9,2.1656407827707715
NIn11,4.6,1.2,23.4,5.589275444992848,7.6,2.1071307505705477,6.2,2.9597297173897483,86.5,5.661271941887264
NIn12,5.1,1.1357816691600546,21.2,2.521904042583698,7.5,1.6278820596099706,7.3,2.9,85.6,5.678027826631356
NIn13,2.8,1.6,2.4,0.8,3.1,0.8306623862918076,2.0,0.6324555320336759,4.0,0.0
NIn14,5.4,1.42828568570857,4.2,0.9797958971132713,5.7,1.1,5.4,1.42828568570857,9.3,0.45825756949558394
NIn15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
NIn16,6.9,1.5132745950421556,5.3,2.451530134426253,5.3,1.4177446878757824,4.0,1.0954451150103321,23.8,1.2489995996796797
NIn17,6.3,1.4866068747318506,6.1,3.047950130825634,5.2,3.1559467676119,3.2,1.3266499161421599,22.9,2.7730849247724096
NIn18,5.6,1.42828568570857,4.9,2.071231517720798,4.5,1.5,3.1,0.9433981132056604,22.7,2.6851443164195103
