models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.7035623771822539,0.7894736910503094,0.8944648373695998,5,0.01408890155657989,0.0,0.0,0.0,0.0,0.0,0.0,0
B,0.39051249250838604,0.4641148497744198,0.00023269449422705433,12,0.03250263699906229,1.0,0.0,0.5,0.06666666666666667,0.1,0.0,2
C,0.41533120511412625,0.42105267451150874,0.0001279318198609687,12,0.026152066213242495,1.0,0.3333333333333333,0.0,0.13333333333333333,0.0,0.05,1
D,0.21794497364474244,0.2631579539183173,8.058024647402448e-05,15,0.03017855345168368,1.0,0.5833333333333334,0.5833333333333334,0.0,0.05,0.0,3
E,6.629770974938031e-05,6.492731463239231e-06,0.0004587141347875826,20,0.06288772147669773,1.0,0.6666666666666666,0.75,0.3333333333333333,0.0,0.2,4
F,6.625954466664832e-05,6.438862919099775e-06,0.0004591801507062584,20,0.06290721609938411,1.0,0.75,0.75,0.3333333333333333,0.2,0.0,4
