models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9695359787568052,0.7894736919631847,0.00011084604386400388,5.0,0.011176818041078123,0.0,0.0,0.0,0.0,0.0,0.0
B,0.6204836906569782,0.5263158263960784,9.400764177189456e-05,10.0,0.02102250818814684,1.0,0.0,0.625,0.1111111111111111,0.0,2.0
C,0.7648529352384086,0.6315789719235928,6.612662079097659e-05,8.0,0.015749776357608006,1.0,0.4,0.0,0.1111111111111111,0.0,1.0
D,0.8514693230324031,0.5789474142001078,0.00025880949865327534,9.0,0.023662359071216842,1.0,0.8,0.75,0.0,0.1,3.0
E,8.108637370113428e-05,5.890414931337118e-06,0.0004586701448338077,20.0,0.06295752954604758,1.0,0.9,1.0,0.7777777777777778,0.0,4.0
