models,delta,spacing,nds,c_guided prim,c_guided prim2,c_kruskal,c_netkeys,c_prim,c_prufer,score
guided prim,3.869000802033303e-05,0.0060910691653586835,10,0.0,0.375,1.0,1.0,0.5,1.0,5
guided prim2,0.4081632754337155,0.35389701296275433,8,0.0,0.0,0.0,1.0,0.0,1.0,2
kruskal,3.000000118744631,3.4651488625458082,3,0.0,0.375,0.0,0.8571428571428571,0.5,1.0,4
netkeys,2.9495878517415974e-08,0.00016145896853847358,7,0.0,0.0,0.0,0.0,0.0,1.0,1
prim,0.44444465455996934,9.331578756160363e-05,4,0.0,1.0,0.0,1.0,0.0,1.0,3
prufer,0.4081631079774103,0.46336266262064923,8,0.0,0.0,0.0,0.0,0.0,0.0,0
