models,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,score
A,0.9393939420529569,1.2110823409706664,6,0.11332573169918542,0.0,0.0,0.0,0.0,0.0,0
B,0.878787885218059,0.8697017358911723,13,0.25511561376193626,1.0,0.0,0.25,0.4444444444444444,0.0,2
C,0.9191919231877019,0.9161270947008296,8,0.15080655214525218,1.0,0.3076923076923077,0.0,0.3888888888888889,0.0,3
D,0.8015448477951362,0.6076958672841076,18,0.4761806061360716,1.0,0.23076923076923078,0.125,0.0,0.0,1
E,0.825624678733598,0.5231401156524234,20,0.30757255559276797,1.0,0.6923076923076923,1.0,0.5555555555555556,0.0,4
