models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.8727474210006477,0.07789688417650696,10.0,0.6652449633825881,27.390141677856445,0.0,0.07234848484848486,0.03587662337662338,0.03392857142857143,0.0,0.0
NetKeys,0.8557744940076489,0.028734864386299137,9.6,0.6798859538078702,37.72593560218811,0.8086435786435787,0.0,0.2692640692640692,0.1907554945054945,0.002631578947368421,1.3
Prim,0.8339487047357057,0.02328991938643532,11.0,0.6815396364486797,28.621206879615784,0.8722871572871573,0.5388888888888889,0.0,0.3082829670329671,0.002631578947368421,2.1
Kruskal,0.8196258466375796,0.06508219539118222,14.0,0.8102931542066376,33.9313529253006,0.94011544011544,0.6191919191919193,0.43730158730158725,0.0,0.002631578947368421,2.5
GPrim,1.0181429102895598,0.16844500405354207,38.0,2.7648268524697457,41.80996427536011,1.0,0.9791666666666667,0.9805555555555555,0.9712225274725274,0.0,4.0
