models,delta,spacing,nds,c_1.0.5.0.4.0,c_1.0.5.0.4.1,c_1.0.5.0.4.2,c_1.0.5.0.4.3,c_1.0.5.0.4.4,c_1.0.5.0.4.5,c_1.0.5.0.4.6,c_1.0.5.0.4.7,score
1.0.5.0.4.0,0.21874998798743694,0.24252984699175056,17,0.0,0.11764705882352941,0.38095238095238093,0.2,0.13636363636363635,0.16,0.08,0.125,1
1.0.5.0.4.1,0.4687499945187187,0.5285781796073996,17,0.5882352941176471,0.0,0.3333333333333333,0.15,0.22727272727272727,0.16,0.32,0.20833333333333334,1
1.0.5.0.4.2,0.1799999952027823,0.00016410871971371546,21,0.29411764705882354,0.35294117647058826,0.0,0.3,0.22727272727272727,0.28,0.16,0.16666666666666666,1
1.0.5.0.4.3,0.09972298218643683,0.00035292324279806724,20,0.47058823529411764,0.4117647058823529,0.47619047619047616,0.0,0.36363636363636365,0.4,0.32,0.20833333333333334,3
1.0.5.0.4.4,2.988939717602739e-06,0.001731164785688857,22,0.5882352941176471,0.47058823529411764,0.5238095238095238,0.4,0.0,0.48,0.32,0.2916666666666667,5
1.0.5.0.4.5,0.15277752261314867,0.19988559518406576,25,0.6470588235294118,0.5882352941176471,0.47619047619047616,0.4,0.45454545454545453,0.0,0.4,0.375,3
1.0.5.0.4.6,0.15277753255498286,0.1998849088343731,25,0.6470588235294118,0.4117647058823529,0.6190476190476191,0.5,0.5454545454545454,0.52,0.0,0.5,7
1.0.5.0.4.7,0.0831756696297785,0.0016396529818710572,24,0.6470588235294118,0.5294117647058824,0.6190476190476191,0.7,0.5909090909090909,0.4,0.32,0.0,6
