models,delta,spacing,nds,c_netkeys,c_kruskal
netkeys,0.21875000069334172,6.142811388714195e-05,9,0.0,0.4666666666666667
kruskal,0.24489795349777937,0.00014734030685019107,15,0.2222222222222222,0.0
