models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9205718141346958,0.00550547256003274,13,0.710956067723325,61.21098303794861,0.0,0.0,0.0,0.0,0.0,0
NetKeys,0.9641734240181569,0.036898658489716775,10,0.777916270586624,115.60308527946472,0.7692307692307693,0.0,0.125,0.1111111111111111,0.0,1
Prim,0.9499761925730701,0.005024745198978654,8,0.7329772120756907,67.92449069023132,0.9230769230769231,0.5,0.0,0.2777777777777778,0.0,3
Kruskal,0.9207924624606415,0.01794366042499206,18,0.8609142865487255,82.04540300369263,0.7692307692307693,0.5,0.0,0.0,0.0,2
GPrim,0.9212925054290069,0.06294774194470995,71,0.9399198196512667,102.82437038421631,1.0,1.0,1.0,1.0,0.0,4
