models,igd,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.04307493624395533,0.7623914519042884,0.023682473909072094,8.7,0.23466356190613036,17.654499554634093,0.0,0.20740537240537243,0.08277888777888778,0.04809634809634809,0.005,0.1
B,0.037843644494301346,0.715777807459428,0.023636156701430926,10.8,0.28605697043670086,23.052836656570435,0.561590909090909,0.0,0.1829112554112554,0.12162060162060165,0.005,1.2
C,0.03681527600034422,0.6797085363672482,0.01256376381401995,12.3,0.30788164837821774,18.222083687782288,0.6761652236652237,0.48377899877899894,0.0,0.23223110223110224,0.005,2.2
D,0.04152014425531503,0.7171357061207276,0.012971469552152979,10.7,0.2631362825002661,20.951336240768434,0.7497366522366522,0.5572710622710623,0.34324758574758574,0.0,0.015000000000000003,2.5
E,0.016990795919135906,0.6429368160381925,0.11751338323742513,20.0,0.8062947927724942,25.764715099334715,0.9320454545454545,0.7815811965811965,0.5863136863136863,0.5143922743922744,0.0,4.0
