models,delta,spacing,nds,c_netkeys,c_kruskal,c_prim,c_guided prim,score
netkeys,0.31999995179237545,0.30143501759339864,11,0.0,0.25,0.25,0.0,0
kruskal,2.0446890284612587e-07,0.00046664853819045754,4,0.5454545454545454,0.0,0.25,0.0,2
prim,0.24489791562996452,0.00042852949549481144,8,0.45454545454545453,0.0,0.0,0.0,1
guided prim,4.5721174569776e-06,0.0021235153950059787,14,1.0,1.0,1.0,0.0,3
