models,delta,spacing,onvg,hypervolume,time,c_A,c_B,c_C,c_D,c_E,score
A,0.8804755240034208,0.04260601606250483,4.8,0.13136349340515238,24.176689910888673,0.0,0.0,0.0,0.0,0.0,0.0
B,0.960209163390884,inf,1.4,0.02945096513648593,56.4177104473114,1.0,0.0,0.35,0.03333333333333333,0.0,1.3
C,0.9400660537210674,inf,1.7,0.044131429354362116,41.72113540172577,0.9833333333333332,0.35,0.0,0.03333333333333333,0.0,1.4
D,0.910553416006087,inf,1.9,0.07355113582817872,53.19378972053528,0.9583333333333333,0.8,0.75,0.0,0.0,2.7
E,0.8589370935092905,0.2055708293798538,4.0,0.37517831723591366,77.746865773201,1.0,1.0,1.0,1.0,0.0,4.0
