Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn1,8.0,0.0,11.0,0.0,8.0,0.0,11.0,0.0,20.0,0.0
NIn2,7.0,0.0,9.0,0.0,7.0,0.0,6.0,0.0,16.0,0.0
NIn3,5.0,0.0,10.0,0.0,8.0,0.0,9.0,0.0,20.0,0.0
NIn4,5.0,0.0,9.0,0.0,10.0,0.0,9.0,0.0,15.0,0.0
NIn5,5.0,0.0,10.0,0.0,9.0,0.0,8.0,0.0,18.0,0.0
NIn6,5.0,0.0,12.0,0.0,11.0,0.0,7.0,0.0,16.0,0.0
