Instance,1.6.2.0.4.0_0.05-mean,1.6.2.0.4.0_0.05-std,1.6.2.0.4.1_0.1-mean,1.6.2.0.4.1_0.1-std,1.6.2.0.4.2_0.15-mean,1.6.2.0.4.2_0.15-std,1.6.2.0.4.3_0.2-mean,1.6.2.0.4.3_0.2-std,1.6.2.0.4.4_0.3-mean,1.6.2.0.4.4_0.3-std,1.6.2.0.4.5_0.4-mean,1.6.2.0.4.5_0.4-std,1.6.2.0.4.6_0.5-mean,1.6.2.0.4.6_0.5-std
small_ga-dem1_r25_1_0,0.744,0.061,0.706,0.045,0.718,0.079,0.721,0.073,\textbf{0.684},0.038,0.698,0.025,0.692,0.071
small_ga-dem4_r25_1_40,0.908,0.034,0.881,0.038,0.901,0.027,0.907,0.024,0.881,0.045,0.874,0.028,\textbf{0.869},0.035
small_no-dem2_r25_1_40,0.959,0.029,0.944,0.032,0.937,0.026,0.944,0.029,0.929,0.034,0.926,0.032,\textbf{0.921},0.042
small_no-dem3_r25_1_0,0.767,0.037,0.754,0.025,0.767,0.046,0.768,0.059,0.757,0.037,0.742,0.037,\textbf{0.74},0.05
small_uu-dem4_r25_1_0,0.809,0.04,0.784,0.049,0.795,0.046,0.807,0.031,0.775,0.044,0.781,0.032,\textbf{0.757},0.064
