models,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.9588996857920358,0.008773110997130844,10,0.5814888464880338,607.766850233078,0.0,0.0,0.0,0.0,0.0,0
NetKeys,1.050045796753694,0.002191983563560899,6,0.7294595852780031,1376.121594429016,1.0,0.0,0.0,0.8,0.0,2
Prim,0.9913529810953032,0.02945062999829693,3,0.6099037142526036,290.14244508743286,1.0,0.3333333333333333,0.0,0.0,0.0,2
Kruskal,0.9852091883664301,0.008320923348714374,5,0.709300568773267,437.69362902641296,0.8,0.0,0.3333333333333333,0.0,0.0,2
GPrim,0.9436029275233045,0.001353760507172193,28,0.8171566086192333,462.45292019844055,1.0,1.0,1.0,1.0,0.0,4
