models,igd,delta,spacing,onvg,hypervolume,time,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
Prufer,0.04611364361908226,0.766397991484199,0.03673369021553182,9,0.6442651524464064,18.10375165939331,0.0,0.375,0.07142857142857142,0.0,0.0,0
NetKeys,0.05612104805198139,0.7923468948222676,0.017123206624234635,8,0.686312934332774,25.827632665634155,0.4444444444444444,0.0,0.2857142857142857,0.0,0.0,1
Prim,0.043658337632350365,0.6275624568448674,0.01360618895869398,14,0.6868435110269376,17.494871616363525,0.8888888888888888,0.625,0.0,0.21428571428571427,0.1,2
Kruskal,0.04357999210150539,0.627668064797489,0.01805478176109362,14,0.689374236190767,20.526852130889893,1.0,0.75,0.42857142857142855,0.0,0.05,3
GPrim,0.0001821937552680182,0.6428622714090876,0.11777431964563459,20,0.79390576702899,25.810612440109253,1.0,1.0,0.5714285714285714,0.35714285714285715,0.0,4
