models,delta,spacing,onvg,hypervolume,time,c_HMOEA,c_Prufer,c_NetKeys,c_Prim,c_Kruskal,c_GPrim,score
HMOEA,0.8335471610885191,0.01772203061524811,8,0.9183178906164676,4553.001731395721,0.0,0.0,0.0,0.0,0.0,0.0,0
Prufer,0.9713590313027587,0.003519097499106976,8,0.5493395906586849,562.7154245376587,0.125,0.0,0.0,0.0,0.0,0.0,1
NetKeys,1.0104473375272565,0.0004029945053994859,5,0.5929465943885921,1404.0982029438019,0.25,0.5,0.0,0.1,0.0,0.0,2
Prim,0.9539137023423296,0.005267387145043649,10,0.5815302072638865,282.7444121837616,0.25,1.0,0.4,0.0,0.0,0.0,3
Kruskal,0.9942422515618845,5.456407003055105e-05,3,0.7211473531096593,461.6626636981964,0.375,0.75,1.0,0.6,0.0,0.0,4
GPrim,0.9445733289986898,0.0016406446025970841,25,0.7975808921359158,531.2378056049347,0.625,1.0,1.0,1.0,1.0,0.0,5
