models,igd,delta,spacing,onvg,hypervolume,c_A,c_B,c_C,c_D,c_E,c_F,score
A,0.9273618592259709,0.7894736931918656,8.403224651025622e-05,5,0.008992437710245436,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0
B,0.33541021414764727,0.4641148693169787,9.591068993621989e-05,12,0.02633649101854805,0.8,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,2
C,0.3872983528271222,0.4210526710105102,7.630969635507318e-05,12,0.023318844540975825,0.8,0.25,0.0,0.1111111111111111,0.0,0.0,1
D,0.8514693222907959,0.5789474093193279,0.00025815385927898234,9,0.025105994765844297,1.0,0.4166666666666667,0.5833333333333334,0.0,0.1,0.0,3
E,6.661411865426437e-05,6.490845873855108e-06,0.0004564618802996894,20,0.06284637266907295,1.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.0,0.0,4
F,6.625275008438114e-05,6.492718325789588e-06,0.0004588297900836695,20,0.0628937829570376,1.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.4,0.0,5
