models,delta,spacing,nds,c_1.2.4.0.2.0,c_1.2.4.0.2.1,c_1.2.4.0.2.2,c_1.2.4.0.2.3,score
1.2.4.0.2.0,2.0000000245066367,2.30976277400804,3,0.0,0.0,0.0,0.16666666666666666,0
1.2.4.0.2.1,0.7499999978606452,0.8944335180058895,5,1.0,0.0,0.08333333333333333,0.6666666666666666,2
1.2.4.0.2.2,0.5950403053995913,0.002110311215089321,12,1.0,0.8,0.0,1.0,3
1.2.4.0.2.3,0.7199958679205664,0.003719300202513979,6,0.3333333333333333,0.0,0.0,0.0,1
